火警类型,纬度,经度,聚类簇
居民,31.260632,121.638818,0
杂物,31.027739,121.61749,1
居民,31.169656,121.746787,1
杂物,31.176577,121.494719,2
杂物,31.207135,121.693661,0
杂物,31.189894,121.711097,0
杂物,30.953736,121.863856,3
杂物,31.198465,121.639433,0
居民,31.241772,121.544772,2
居民,31.187419,121.740711,0
单位,31.037092,121.597165,2
杂物,31.051703,121.585274,2
杂物,31.08387,121.645499,1
居民,31.179786,121.498414,2
居民,31.327929,121.593355,0
杂物,31.207135,121.693661,0
车辆,31.33558,121.60143,0
车辆,30.971605,121.887985,3
杂物,30.885462,121.810881,3
居民,31.266769,121.683909,0
杂物,31.15489,121.511062,2
杂物,30.897809,121.874746,3
杂物,30.993507,121.787007,1
杂物,31.058879,121.707559,1
车辆（电瓶车）,31.210653,121.632752,0
杂物,31.35819,121.564245,0
居民,31.267234,121.593098,0
杂物,31.207135,121.693661,0
居民,31.207135,121.693661,0
车辆,30.902203,121.841994,3
杂物,31.207135,121.693661,0
居民,31.019605,121.609275,1
杂物,31.094143,121.603695,2
电线,31.234295,121.507513,2
杂物,31.174363,121.738226,1
杂物,31.237563,121.50806,2
居民,31.168577,121.48369,2
工程工地,30.972378,121.81704,3
杂物,31.207135,121.693661,0
杂物,30.906001,121.882084,3
单位,31.194551,121.513561,2
居民,31.224832,121.525526,2
杂物,31.129488,121.601844,2
杂物,31.119138,121.543852,2
居民,31.328006,121.58242,0
电线,31.039991,121.561855,2
居民,31.149965,121.577998,2
杂物,31.176825,121.641747,0
居民,31.068684,121.738103,1
杂物,31.035984,121.767733,1
车辆（电瓶车）,31.12172,121.655974,1
居民,31.165826,121.531577,2
居民,31.139706,121.529765,2
居民,31.024452,121.574242,2
居民,31.126657,121.588164,2
单位,31.054074,121.76028,1
居民,31.207135,121.693661,0
地下空间,31.099961,121.605285,2
居民,31.043571,121.772671,1
杂物,31.234967,121.750226,0
居民,31.237912,121.514524,2
杂物,31.267144,121.600888,0
居民,31.049241,121.592938,2
居民,31.209766,121.527576,2
居民,31.211558,121.522267,2
车辆,31.19914,121.755346,0
居民,31.075017,121.609279,2
杂物,31.129488,121.601844,2
居民,31.319607,121.632215,0
杂物,31.087152,121.589524,2
居民,31.253796,121.600891,0
居民,31.137685,121.517714,2
杂物,31.207135,121.693661,0
杂物,31.067055,121.67751,1
杂物,31.254641,121.554804,0
杂物,30.966332,121.762594,1
车辆（电瓶车）,31.24975,121.577046,0
杂物,31.167031,121.724135,1
杂物,30.914347,121.891557,3
杂物,31.072718,121.7806,1
杂物,31.207135,121.693661,0
居民,31.175947,121.514519,2
杂物,31.207135,121.693661,0
居民,31.207135,121.693661,0
居民,31.283459,121.609751,0
居民,31.058038,121.767035,1
居民,30.889007,121.817447,3
杂物,31.240301,121.62744,0
杂物,31.115317,121.54789,2
居民,31.258944,121.694137,0
杂物,31.141983,121.507899,2
杂物,31.233579,121.524202,2
居民,31.240149,121.571492,0
居民,31.069422,121.748017,1
居民,31.162776,121.660571,0
居民,31.139283,121.526078,2
电线,31.025239,121.780316,1
车辆,30.869958,121.834709,3
杂物,31.242188,121.561696,0
居民,31.248589,121.552559,0
车辆（电瓶车）,31.316776,121.611978,0
杂物,31.011342,121.740336,1
杂物,30.910001,121.91778,3
居民,31.231786,121.63078,0
杂物,31.160562,121.713116,1
杂物,31.014136,121.862144,3
杂物,31.207135,121.693661,0
居民,31.170021,121.668927,0
杂物,31.107822,121.563386,2
居民,31.03013,121.762005,1
杂物,31.17078,121.692021,0
杂物,31.274532,121.719214,0
杂物,31.140909,121.760611,1
居民,31.114902,121.563707,2
杂物,30.894318,121.898435,3
杂物,31.207135,121.693661,0
杂物,30.950611,121.869881,3
居民,31.06969,121.738266,1
杂物,31.207135,121.693661,0
车辆（电瓶车）,31.249969,121.590724,0
杂物,31.1906,121.677411,0
杂物,31.076681,121.599885,2
车辆（电瓶车）,31.069598,121.720991,1
居民,31.19479,121.55442,2
电线,31.239782,121.566881,0
杂物,31.230663,121.51276,2
电线,31.120121,121.56229,2
杂物,30.881818,121.868399,3
居民,31.316139,121.629,0
居民,31.265188,121.569072,0
车辆,31.173248,121.735279,1
杂物,31.207135,121.693661,0
车辆,31.093431,121.584437,2
居民,31.153163,121.754312,1
车辆,31.199216,121.735673,0
杂物,30.881386,121.940825,3
杂物,31.102499,121.739113,1
居民,31.085432,121.664907,1
杂物,31.249269,121.662661,0
居民,31.254034,121.70171,0
杂物,31.174033,121.736844,1
居民,31.20084,121.510371,2
居民,31.237427,121.557213,0
杂物,31.25757,121.575742,0
居民,30.898957,121.814568,3
车辆（电瓶车）,31.170479,121.48972,2
居民,31.197645,121.51105,2
居民,31.35583,121.517738,0
杂物,31.198019,121.772316,1
居民,31.050821,121.746299,1
杂物,31.207135,121.693661,0
居民,31.247186,121.574598,0
杂物,31.290531,121.622073,0
杂物,31.172958,121.618988,2
杂物,31.120562,121.508235,2
杂物,31.15281,121.580467,2
杂物,31.139125,121.614758,2
车辆,31.165607,121.501928,2
杂物,31.296755,121.644099,0
杂物,31.038701,121.643248,1
杂物,31.053895,121.692449,1
杂物,30.936708,121.93221,3
杂物,31.287039,121.683286,0
居民,31.171578,121.661035,0
杂物,31.125426,121.764642,1
居民,31.145794,121.511873,2
车辆,31.111845,121.579856,2
杂物,31.164038,121.493943,2
单位,31.207025,121.533673,2
居民,31.14886,121.744221,1
居民,31.053248,121.775038,1
杂物,31.31512,121.636217,0
杂物,31.270813,121.58735,0
居民,31.283354,121.67735,0
单位,31.325539,121.587439,0
电线,31.10023,121.68388,1
杂物,31.029937,121.602845,2
居民,31.171952,121.489766,2
居民,31.2265,121.529531,2
车辆,31.199092,121.626664,0
杂物,31.026926,121.642006,1
居民,31.059091,121.710517,1
居民,30.898502,121.8038,3
电线,31.225517,121.647271,0
杂物,30.947859,121.771746,3
杂物,30.99537,121.750367,1
杂物,31.11797,121.585503,2
居民,31.207135,121.693661,0
居民,31.153061,121.503246,2
居民,31.291009,121.574555,0
居民,31.340418,121.581922,0
杂物,31.167025,121.495416,2
杂物,31.103395,121.612326,2
居民,31.116305,121.60412,2
居民,31.189017,121.560699,2
杂物,31.375217,121.513744,0
杂物,31.159919,121.637722,0
车辆（电瓶车）,31.269429,121.596708,0
杂物,31.207135,121.693661,0
居民,31.300869,121.613715,0
杂物,31.354383,121.518352,0
杂物,31.129026,121.740372,1
杂物,31.207135,121.693661,0
居民,31.137174,121.506462,2
杂物,31.064989,121.700638,1
杂物,30.953155,121.781976,3
居民,31.1993,121.541289,2
居民,30.920881,121.801496,3
杂物,31.007945,121.637261,1
居民,31.182194,121.552219,2
杂物,31.058378,121.759916,1
杂物,31.202887,121.535944,2
居民,31.161681,121.505844,2
杂物,31.108899,121.59549,2
杂物,31.092466,121.574219,2
居民,30.91027,121.80683,3
居民,31.275545,121.596924,0
单位,30.978419,121.868346,3
杂物,31.209498,121.515193,2
杂物,31.030616,121.658366,1
杂物,31.198627,121.513153,2
杂物,31.215034,121.754615,0
居民,31.140498,121.530225,2
车辆（电瓶车）,30.897686,121.906762,3
单位,31.188162,121.551708,2
车辆,31.151086,121.507078,2
居民,31.092213,121.77251,1
杂物,31.150039,121.557314,2
杂物,31.274996,121.596721,0
杂物,31.110289,121.587493,2
杂物,30.889698,121.901372,3
杂物,31.207019,121.62927,0
杂物,31.295444,121.637879,0
杂物,30.889423,121.963257,3
杂物,31.166539,121.540729,2
杂物,31.172133,121.565337,2
杂物,31.03008,121.767295,1
杂物,31.203579,121.621228,0
杂物,31.182639,121.503988,2
杂物,31.226506,121.561913,2
杂物,31.130621,121.535119,2
居民,31.200838,121.655168,0
杂物,31.252825,121.597458,0
杂物,31.176546,121.62582,0
居民,30.883584,121.916654,3
杂物,31.247353,121.699145,0
杂物,31.207135,121.693661,0
杂物,31.207135,121.693661,0
杂物,31.139487,121.517185,2
居民,31.181654,121.539791,2
居民,31.18217,121.626173,0
杂物,31.284537,121.595405,0
居民,31.185396,121.499915,2
居民,31.028844,121.847866,3
车辆（电瓶车）,31.277437,121.663121,0
杂物,30.869011,121.920854,3
居民,31.203527,121.518748,2
杂物,30.974724,121.751489,1
杂物,31.103822,121.665466,1
单位,31.323834,121.625065,0
居民,31.165826,121.531577,2
居民,31.197295,121.515404,2
