立案时间,火警地址,纬度,经度,地理编码状态
2025/1/22 20:29,浦东新区 周浦镇 沈梅东路209号A区02号 东北烧烤炒菜（九小场所—餐饮）（消防处置）（到场处置）,31.093134,121.587101,成功
2025/1/22 19:56,浦东新区 惠南镇 靖海南路567弄41号6楼（居民处置）（到场未处置）,31.034928,121.767997,成功
2025/1/22 14:46,浦东新区 北蔡镇 沪南路1087弄室外垃圾房旁边（驻防车出动）（居民处置）（到场未处置）,31.180418,121.555384,成功
2025/1/22 13:50,浦东新区 沪东新村街道 博兴路 博一小区内 小广场上（居民处置）（到场未处置）,31.266251,121.584578,成功
2025/1/22 9:19,浦东新区 金杨新村街道 栖山路1555弄 金樟花苑 32号903室（消防处置）（到场处置）,31.258536,121.564753,成功
2025/1/22 8:37,浦东新区 惠南镇团结村4组266号（到场未处置）,31.022623,121.775526,成功
2025/1/21 21:40,浦东新区 周浦镇 川周公路4293弄(文馨园)16号门口（居民处置）（到场未处置）,31.120432,121.581226,成功
2025/1/21 19:41,浦东新区 北蔡镇 北中路280弄19号202室(莲中二村)（祭扫）（驻防车出动）（燃烧物质燃烬）（到场未处置）,31.180101,121.55853,成功
2025/1/21 16:59,浦东新区 唐镇镇 虹盛路250弄12号202室（到场未处置）,31.241524,121.681001,成功
2025/1/21 12:42,浦东新区 花木街道 芳芯路251弄19号303室（消防处置）（到场处置）,31.192164,121.556512,成功
2025/1/21 11:52,浦东新区 曹路镇 东川公路 靠近 讯建路（消防处置）（到场处置）,31.278842,121.686378,成功
2025/1/21 10:50,浦东新区 川沙新镇 新德西路508弄(舒馨北苑)16号楼2楼（祭扫）（居民处置）（到场未处置）,31.190662,121.667465,成功
2025/1/21 8:40,浦东新区 书院镇 三三公路 滨海森林公园南门口（燃烧物质燃尽）（到场未处置）,30.963203,121.91092,成功
2025/1/20 18:12,浦东新区 张江镇 申江路5005弄2号楼北侧外墙 上海筱贝信息科技有限公司（消防处置）（到场处置）,31.209585,121.626638,成功
2025/1/20 18:03,浦东新区 南码头街道 临沂北路 靠近 龙阳路口 高架下面 南码头雕刻物 旁边（祭扫）（居民处置）（到场未处置）,31.188228,121.518456,成功
